,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
256,27.599944591522217,0.06927862167358398,0.7101865814107894,0.7099771692131304,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 15}",186,0.7111368268298888,0.7110507531037193,0.7191574317666631,0.7250595933476114,0.707596157545743,0.7013827281084102,0.7194156993619238,0.7195146327060209,0.6936259119136753,0.6928781387998904,37.769923088960674,0.038821754957047365,0.00946052936279329,0.011711845021141103
257,11.250813007354736,0.04466481208801269,0.7367401643715864,0.7369072501733237,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",145,0.7390357695920279,0.7381443519212411,0.7327701281880085,0.7407401908012348,0.7325423132895684,0.7292544874814051,0.7402690648825535,0.7423059220249131,0.7390835483058701,0.734091298637825,2.4441289871574208,0.0028725900962454937,0.003364447065405505,0.004729944444114202
258,13.01509404182434,0.045491933822631836,0.7430292938189883,0.7426193320859781,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",129,0.7448861822544809,0.7426138837421818,0.7564010727241738,0.764799452829278,0.7451810166912115,0.7397734083842906,0.7318875875620217,0.7334165609621862,0.736790203172991,0.7324933545119536,3.199719058358633,0.00038577375639304543,0.008365936950243956,0.011724192814639156
259,13.480831813812255,0.047513055801391604,0.7464758396221515,0.7463767767322744,0.001,"(25, 25)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",117,0.7449487447852771,0.7436168727097806,0.7314019620763962,0.7403095636846562,0.7586430890542474,0.75384538442093,0.7318854838740565,0.7340547732229395,0.7655009507317889,0.760057289623066,3.157161017049663,0.0005865051959414979,0.013801529118858267,0.009372261718761226
260,40.96451678276062,0.11246137619018555,0.7481694955683353,0.7485457959309983,0.001,"(25, 25)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 35}",115,0.7594329172628845,0.7567736630201617,0.7490309034953891,0.759890180375731,0.7348451479641263,0.7338916284435444,0.7546143162320621,0.7541293446410834,0.7429233635531258,0.7380441631744713,34.397140423552955,0.07635950744019371,0.008651098610186859,0.010512828228103375
261,126.56900978088379,0.22836823463439943,0.8047927550573338,0.8068877369085573,0.001,"(25, 25)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 40}",71,0.7953774522607995,0.7983628751740481,0.8085221400536211,0.8149911423909286,0.7944691780116381,0.7936004023942276,0.8142485890637359,0.8161340966497973,0.8113472181154835,0.8113501679337852,15.309060501656907,0.0026834733458446325,0.00826448498063286,0.00916842588037077
262,51.16782417297363,0.21807441711425782,0.8239882852204131,0.8254514263645983,0.001,"(25, 25)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 45}",61,0.8185699518366437,0.8188217111229125,0.8345523116977296,0.840810781683718,0.8174795998849326,0.8199215622846289,0.8287561725831947,0.8271418629254559,0.8205834912468708,0.8205612138062763,21.48567068952928,0.08054574101932814,0.006597669910042683,0.00821235741282128
263,52.72498459815979,0.10247702598571777,0.8881876082856784,0.8887222587979338,0.001,"(25, 25)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 50}",38,0.8877756876855252,0.8834938321346645,0.9026526518684259,0.9064905604346126,0.8777845066776279,0.8792938406631036,0.8902494454533441,0.892052415669205,0.8824754834952055,0.8822806450880836,46.03731170700499,0.08812988374315486,0.008420327774029795,0.009844068152187793
264,46.51645450592041,0.1023789882659912,0.9357947749422277,0.9362119167652194,0.001,"(25, 25)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 55}",23,0.9411408736282575,0.9389974826294919,0.9348988297285405,0.9414315619284656,0.9396016241747812,0.9377591191076741,0.9331668561726818,0.9314239201317127,0.9301651396563992,0.9314475000287531,10.746884439744717,0.08317184989101764,0.004061383612731706,0.004074861629652913
265,54.378440380096436,0.2478935718536377,0.9938608524409941,0.994328958459915,0.001,"(25, 25)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 60}",1,0.9941390405642392,0.9938997067309204,0.9934590537884286,0.9943055106069556,0.993815179144554,0.9942743203770552,0.9942211473972621,0.9949223587027928,0.9936698177397414,0.9942428958818512,10.050832381757743,0.09369144061652183,0.00028538591625788394,0.0003308542834367463
